datetime,temp,press,hum,city
2019-12-31 23:30,2,727.6,87,1
2019-12-31 23:00,2,727.6,87,1
2019-12-31 22:30,2,727.6,93,1
2019-12-31 22:00,2,726.9,93,1
2019-12-31 21:30,2,726.9,93,1
2019-12-31 21:00,2,726.9,93,1
2019-12-31 20:30,2,726.9,93,1
2019-12-31 20:00,1,726.9,100,1
2019-12-31 19:30,1,726.9,100,1
2019-12-31 19:00,1,726.9,93,1
2019-12-31 18:30,2,726.9,93,1
2019-12-31 18:00,2,726.9,93,1
2019-12-31 17:30,1,726.9,100,1
2019-12-31 17:00,1,726.1,93,1
2019-12-31 16:30,1,726.1,93,1
2019-12-31 16:00,1,726.1,93,1
2019-12-31 15:30,1,726.9,93,1
2019-12-31 15:00,1,726.1,93,1
2019-12-31 14:30,1,726.1,100,1
2019-12-31 14:00,1,726.1,93,1
2019-12-31 13:30,1,726.9,93,1
2019-12-31 13:00,1,726.9,93,1
2019-12-31 12:30,1,726.9,93,1
2019-12-31 12:00,1,726.9,93,1
2019-12-31 11:30,1,726.9,93,1
2019-12-31 11:00,1,727.5,93,1
2019-12-31 10:30,1,726.9,93,1
2019-12-31 10:00,1,726.9,93,1
2019-12-31 09:30,1,727.5,93,1
2019-12-31 09:00,1,727.5,93,1
2019-12-31 08:30,1,727.5,93,1
2019-12-31 08:00,1,728.3,93,1
2019-12-31 07:30,1,728.3,93,1
2019-12-31 07:00,1,727.5,93,1
2019-12-31 06:30,1,728.3,93,1
2019-12-31 06:00,0,728.3,93,1
2019-12-31 05:30,0,728.3,93,1
2019-12-31 05:00,0,728.3,93,1
2019-12-31 04:30,0,728.3,93,1
2019-12-31 04:00,0,728.3,93,1
2019-12-31 03:30,0,729,93,1
2019-12-31 03:00,0,729,93,1
2019-12-31 02:30,0,729,93,1
2019-12-31 02:00,0,729,87,1
2019-12-31 01:30,0,729.7,87,1
2019-12-31 01:00,-1,729.7,93,1
2019-12-31 00:30,0,730.5,87,1
2019-12-31 00:00,0,730.5,87,1
2019-12-30 23:30,0,730.5,87,1
2019-12-30 23:00,0,731.2,87,1
2019-12-30 22:30,0,731.2,87,1
2019-12-30 22:00,0,732,93,1
2019-12-30 21:30,0,732,87,1
2019-12-30 21:00,0,732.8,87,1
2019-12-30 20:30,-1,732.7,93,1
2019-12-30 20:00,-1,733.4,86,1
2019-12-30 19:30,-1,734.2,86,1
2019-12-30 19:00,-2,734.8,93,1
2019-12-30 18:30,-2,734.8,93,1
2019-12-30 18:00,-2,735.6,86,1
2019-12-30 17:30,-2,736.3,86,1
2019-12-30 17:00,-3,737,93,1
2019-12-30 16:30,-3,737.7,86,1
2019-12-30 16:00,-3,738.5,86,1
2019-12-30 15:30,-3,739.2,86,1
2019-12-30 15:00,-3,739.2,86,1
2019-12-30 14:30,-4,739.9,86,1
2019-12-30 14:00,-4,740.4,86,1
2019-12-30 13:30,-4,741.2,86,1
2019-12-30 13:00,-4,741.9,86,1
2019-12-30 12:30,-4,742.7,86,1
2019-12-30 12:00,-4,743.3,86,1
2019-12-30 11:30,-4,744.1,86,1
2019-12-30 11:00,-4,744.9,80,1
2019-12-30 10:30,-4,744.9,86,1
2019-12-30 10:00,-4,745.6,86,1
2019-12-30 09:30,-4,746.4,86,1
2019-12-30 09:00,-4,747.1,86,1
2019-12-30 08:30,-4,747.1,86,1
2019-12-30 08:00,-4,747.8,86,1
2019-12-30 07:30,-4,747.8,86,1
2019-12-30 07:00,-4,747.8,86,1
2019-12-30 06:30,-4,748.6,86,1
2019-12-30 06:00,-4,749.3,86,1
2019-12-30 05:30,-4,749.3,86,1
2019-12-30 05:00,-4,750.1,86,1
2019-12-30 04:30,-5,750,93,1
2019-12-30 04:00,-5,750.8,93,1
2019-12-30 03:30,-5,750.8,93,1
2019-12-30 03:00,-5,751.5,93,1
2019-12-30 02:00,-4,751.5,86,1
2019-12-30 01:30,-5,752.3,93,1
2019-12-30 01:00,-4,752.3,86,1
2019-12-30 00:30,-5,752.3,93,1
2019-12-30 00:00,-4,752.3,86,1
2019-12-29 23:30,-4,753,86,1
2019-12-29 23:00,-4,753,86,1
