datetime,temp,press,hum,city
2019-12-31 23:30,-2,752.3,64,2
2019-12-31 23:00,-1,751.6,69,2
2019-12-31 22:30,-1,750.8,80,2
2019-12-31 22:00,0,750,80,2
2019-12-31 21:30,0,750,87,2
2019-12-31 21:00,0,749.3,93,2
2019-12-31 20:30,0,748.5,93,2
2019-12-31 20:00,1,747.9,81,2
2019-12-31 19:30,1,747.1,87,2
2019-12-31 19:00,1,746.3,93,2
2019-12-31 18:30,1,745.6,93,2
2019-12-31 18:00,1,744.8,93,2
2019-12-31 17:30,1,744.1,93,2
2019-12-31 17:00,1,743.3,93,2
2019-12-31 16:30,1,742.5,93,2
2019-12-31 16:00,2,742.5,87,2
2019-12-31 15:30,2,741.8,87,2
2019-12-31 15:00,2,741.8,87,2
2019-12-31 14:30,2,741,93,2
2019-12-31 14:00,3,741,87,2
2019-12-31 13:30,3,740.2,87,2
2019-12-31 13:00,3,740.2,87,2
2019-12-31 12:30,3,740.2,87,2
2019-12-31 12:00,3,739.7,87,2
2019-12-31 11:30,2,739.7,93,2
2019-12-31 11:00,1,739,93,2
2019-12-31 10:30,3,739,93,2
2019-12-31 10:00,3,739,93,2
2019-12-31 09:30,3,738.2,93,2
2019-12-31 09:00,3,738.2,93,2
2019-12-31 08:30,4,738.2,87,2
2019-12-31 08:00,4,738.2,87,2
2019-12-31 07:30,4,738.2,93,2
2019-12-31 07:00,4,738.2,93,2
2019-12-31 06:30,4,738.2,93,2
2019-12-31 06:00,4,739,93,2
2019-12-31 05:30,5,739,87,2
2019-12-31 05:00,5,739,87,2
2019-12-31 04:30,5,739,87,2
2019-12-31 04:00,5,739,87,2
2019-12-31 03:30,5,739,87,2
2019-12-31 03:00,5,739.7,87,2
2019-12-31 02:30,5,739.7,87,2
2019-12-31 02:00,5,739.7,87,2
2019-12-31 01:30,4,739.7,93,2
2019-12-31 01:00,4,739.7,87,2
2019-12-31 00:30,4,740.2,87,2
2019-12-31 00:00,4,740.2,87,2
2019-12-30 23:30,4,740.2,87,2
2019-12-30 23:00,4,740.2,87,2
2019-12-30 22:30,5,740.2,87,2
2019-12-30 22:00,5,740.2,87,2
2019-12-30 21:30,5,740.2,93,2
2019-12-30 21:00,5,739.7,93,2
2019-12-30 20:30,5,740.2,93,2
2019-12-30 20:00,5,740.2,87,2
2019-12-30 19:30,5,740.2,87,2
2019-12-30 19:00,5,741,87,2
2019-12-30 18:30,5,741.8,87,2
2019-12-30 18:00,4,741.8,93,2
2019-12-30 17:30,5,741.8,87,2
2019-12-30 17:00,4,742.5,93,2
2019-12-30 16:30,4,742.5,87,2
2019-12-30 16:00,4,743.3,87,2
2019-12-30 15:30,4,744.1,87,2
2019-12-30 15:00,4,744.1,87,2
2019-12-30 14:30,4,744.8,87,2
2019-12-30 14:00,3,744.8,93,2
2019-12-30 13:30,3,745.6,93,2
2019-12-30 13:00,3,746.3,93,2
2019-12-30 12:30,3,747.1,93,2
2019-12-30 12:00,3,747.1,93,2
2019-12-30 11:30,3,747.9,93,2
2019-12-30 11:00,3,747.9,93,2
2019-12-30 10:30,3,748.6,93,2
2019-12-30 10:00,3,749.4,87,2
2019-12-30 09:30,3,749.4,87,2
2019-12-30 09:00,3,749.4,87,2
2019-12-30 08:30,2,750.1,93,2
2019-12-30 08:00,2,750.1,93,2
2019-12-30 07:30,2,750.9,93,2
2019-12-30 07:00,2,751.7,87,2
2019-12-30 06:30,2,751.7,87,2
2019-12-30 06:00,2,752.4,87,2
2019-12-30 05:30,1,753.1,93,2
2019-12-30 05:00,1,753.1,87,2
2019-12-30 04:30,0,753.9,93,2
2019-12-30 04:00,0,754.6,87,2
2019-12-30 03:30,-1,755.4,93,2
2019-12-30 03:00,-1,755.9,86,2
2019-12-30 02:00,-2,757.4,93,2
2019-12-30 01:30,-2,757.4,93,2
2019-12-30 01:00,-2,758.2,93,2
2019-12-30 00:30,-2,758.9,86,2
2019-12-30 00:00,-2,758.9,80,2
2019-12-29 23:30,-2,759.7,80,2
2019-12-29 23:00,-2,760.5,80,2
2019-12-29 22:30,-2,760.5,80,2
2019-12-29 22:00,-2,762,80,2
2019-12-29 21:30,-2,762,80,2
2019-12-29 21:00,-2,762.7,80,2
2019-12-29 20:30,-3,762.7,80,2
2019-12-29 20:00,-3,763.5,80,2
2019-12-29 19:30,-3,764.3,80,2
2019-12-29 19:00,-3,764.3,80,2
2019-12-29 18:30,-3,765.8,80,2
2019-12-29 18:00,-3,765.8,80,2
2019-12-29 17:30,-4,766.6,86,2
2019-12-29 17:00,-4,766.6,80,2
2019-12-29 16:30,-4,767.3,80,2
2019-12-29 16:00,-4,768.1,80,2
2019-12-29 15:30,-4,768.1,80,2
2019-12-29 15:00,-4,768.8,86,2
2019-12-29 14:30,-4,768.8,86,2
2019-12-29 14:00,-4,769.6,86,2
2019-12-29 13:30,-4,769.6,86,2
2019-12-29 13:00,-4,769.6,86,2
2019-12-29 12:30,-4,770.3,86,2
2019-12-29 12:00,-4,771,86,2
2019-12-29 11:30,-5,771,93,2
2019-12-29 11:00,-6,771,93,2
2019-12-29 10:30,-6,771,86,2
2019-12-29 10:00,-7,771.5,93,2
2019-12-29 09:30,-6,771.5,86,2
2019-12-29 09:00,-6,771.5,86,2
2019-12-29 08:30,-6,772.3,86,2
2019-12-29 08:00,-6,772.3,86,2
2019-12-29 07:30,-6,772.3,86,2
2019-12-29 07:00,-6,772.3,86,2
2019-12-29 06:30,-6,772.3,86,2
2019-12-29 06:00,-7,773.1,86,2
2019-12-29 05:30,-7,773.1,86,2
2019-12-29 05:00,-7,773.1,86,2
2019-12-29 04:30,-7,773.1,93,2
2019-12-29 04:00,-7,773.1,93,2
2019-12-29 03:30,-7,773.8,86,2
2019-12-29 03:00,-6,773.8,86,2
2019-12-29 02:30,-5,773.8,80,2
2019-12-29 02:00,-4,773.8,80,2
2019-12-29 01:30,-4,773.8,80,2
2019-12-29 01:00,-4,773.8,80,2
2019-12-29 00:30,-4,773.8,80,2
2019-12-29 00:00,-4,773.8,80,2
2019-12-28 23:30,-3,773.8,74,2
2019-12-28 23:00,-3,773.8,74,2
2019-12-28 22:30,-3,774.6,74,2
2019-12-28 22:00,-3,774.6,74,2
2019-12-28 21:30,-3,774.6,74,2
2019-12-28 21:00,-3,773.8,74,2
2019-12-28 20:30,-2,773.9,74,2
2019-12-28 20:00,-2,773.9,74,2
2019-12-28 19:30,-2,773.9,74,2
2019-12-28 19:00,-2,773.9,74,2
2019-12-28 18:30,-2,773.9,74,2
2019-12-28 18:00,-2,773.9,74,2
2019-12-28 17:30,-2,773.9,74,2
2019-12-28 17:00,-2,773.2,74,2
2019-12-28 16:30,-2,773.2,74,2
2019-12-28 16:00,-2,773.2,74,2
2019-12-28 15:30,-2,773.2,74,2
2019-12-28 15:00,-1,773.2,69,2
2019-12-28 14:30,-1,773.2,69,2
2019-12-28 14:00,-1,773.2,69,2
2019-12-28 13:30,-1,773.2,69,2
2019-12-28 13:00,-1,772.4,69,2
2019-12-28 12:30,-1,773.2,69,2
2019-12-28 12:00,-1,772.4,69,2
2019-12-28 11:30,-1,772.4,69,2
2019-12-28 11:00,-1,772.4,69,2
2019-12-28 10:30,-1,772.4,69,2
2019-12-28 10:00,-1,771.6,69,2
2019-12-28 09:30,-1,771.6,69,2
2019-12-28 09:00,-1,771.1,69,2
2019-12-28 08:30,-1,771.1,69,2
2019-12-28 08:00,-1,771.1,69,2
2019-12-28 07:30,-1,770.4,69,2
2019-12-28 07:00,-1,770.4,69,2
2019-12-28 06:30,-1,770.4,69,2
2019-12-28 06:00,-1,770.4,75,2
2019-12-28 05:30,-1,769.6,75,2
2019-12-28 05:00,-1,769.6,75,2
2019-12-28 04:30,-1,769.6,75,2
2019-12-28 04:00,-1,768.8,75,2
2019-12-28 03:30,-1,768.8,75,2
2019-12-28 03:00,-1,768.8,75,2
2019-12-28 02:00,-1,768.1,75,2
2019-12-28 01:30,-1,768.1,75,2
2019-12-28 01:00,0,767.3,75,2
2019-12-28 00:30,-1,767.3,86,2
2019-12-28 00:00,0,767.3,87,2
2019-12-27 23:30,0,766.6,87,2
2019-12-27 23:00,0,766.6,80,2
2019-12-27 22:30,0,765.8,80,2
2019-12-27 22:00,0,765.8,87,2
2019-12-27 21:30,-1,765.8,93,2
2019-12-27 21:00,0,765,87,2
2019-12-27 20:30,0,765,80,2
2019-12-27 20:00,0,765,80,2
2019-12-27 19:30,0,764.3,80,2
2019-12-27 19:00,0,764.3,80,2
2019-12-27 18:30,0,764.3,80,2
2019-12-27 18:00,0,764.3,80,2
2019-12-27 17:30,0,763.5,80,2
2019-12-27 17:00,0,763.5,80,2
2019-12-27 16:30,0,763.5,80,2
2019-12-27 16:00,-1,762.7,86,2
2019-12-27 15:30,-1,762.7,86,2
2019-12-27 15:00,0,762,80,2
2019-12-27 14:30,0,762,80,2
2019-12-27 14:00,0,762,80,2
2019-12-27 13:30,0,762,80,2
2019-12-27 13:00,0,761.2,80,2
2019-12-27 12:30,0,761.2,80,2
2019-12-27 12:00,0,761.2,80,2
2019-12-27 11:30,0,760.5,87,2
2019-12-27 11:00,0,760.5,87,2
2019-12-27 10:30,0,760.5,87,2
2019-12-27 10:00,1,759.7,81,2
2019-12-27 09:30,1,759.7,81,2
2019-12-27 09:00,1,759.7,81,2
2019-12-27 08:30,1,758.9,81,2
2019-12-27 08:00,1,758.9,81,2
2019-12-27 07:30,1,758.9,81,2
2019-12-27 07:00,1,758.9,81,2
2019-12-27 06:30,1,758.9,81,2
2019-12-27 06:00,1,758.9,81,2
2019-12-27 05:30,1,758.2,81,2
2019-12-27 05:00,1,758.2,87,2
2019-12-27 04:30,1,758.2,87,2
2019-12-27 04:00,1,758.2,87,2
2019-12-27 03:30,1,758.2,87,2
2019-12-27 03:00,1,758.2,87,2
2019-12-27 02:30,1,758.2,87,2
2019-12-27 02:00,1,758.2,87,2
2019-12-27 01:30,1,758.2,87,2
2019-12-27 01:00,1,758.2,87,2
2019-12-27 00:30,1,757.4,87,2
2019-12-27 00:00,1,757.4,87,2
2019-12-26 23:30,1,757.4,93,2
2019-12-26 23:00,1,757.4,87,2
2019-12-26 22:30,1,757.4,87,2
2019-12-26 22:00,1,757.4,87,2
2019-12-26 21:30,1,757.4,87,2
2019-12-26 21:00,1,757.4,87,2
2019-12-26 20:30,1,757.4,87,2
2019-12-26 20:00,1,756.7,93,2
2019-12-26 19:30,1,756.7,93,2
2019-12-26 19:00,1,756.7,87,2
2019-12-26 18:30,1,756.7,87,2
2019-12-26 18:00,1,756.7,87,2
2019-12-26 17:30,1,756.7,87,2
2019-12-26 17:00,1,756.7,87,2
2019-12-26 16:30,1,756.7,93,2
2019-12-26 16:00,1,756.7,93,2
2019-12-26 15:30,1,756.7,93,2
2019-12-26 15:00,1,756.7,93,2
2019-12-26 14:30,2,755.9,87,2
2019-12-26 14:00,2,755.9,87,2
2019-12-26 13:30,2,755.9,87,2
2019-12-26 13:00,1,755.9,93,2
2019-12-26 12:30,1,755.9,93,2
2019-12-26 12:00,2,755.9,93,2
2019-12-26 11:30,2,755.9,93,2
2019-12-26 11:00,2,755.9,87,2
2019-12-26 10:30,2,755.9,87,2
2019-12-26 10:00,1,755.9,93,2
2019-12-26 09:30,1,755.9,93,2
2019-12-26 09:00,1,755.4,93,2
2019-12-26 08:30,1,755.4,93,2
2019-12-26 08:00,1,755.4,93,2
2019-12-26 07:30,1,755.4,93,2
2019-12-26 07:00,1,755.4,93,2
2019-12-26 06:30,1,755.4,93,2
2019-12-26 06:00,1,755.4,93,2
2019-12-26 05:30,1,755.4,93,2
2019-12-26 05:00,2,755.4,87,2
2019-12-26 04:30,2,755.4,93,2
2019-12-26 04:00,2,755.4,93,2
2019-12-26 03:30,2,755.4,93,2
2019-12-26 03:00,2,755.4,93,2
2019-12-26 02:30,2,755.4,93,2
2019-12-26 02:00,2,754.6,93,2
2019-12-26 01:30,2,755.4,93,2
2019-12-26 01:00,3,754.7,87,2
2019-12-26 00:30,3,754.7,87,2
2019-12-26 00:00,3,754.7,87,2
2019-12-25 23:30,3,754.7,93,2
2019-12-25 23:00,3,754,93,2
2019-12-25 22:30,3,754,93,2
2019-12-25 22:00,3,754,93,2
2019-12-25 21:30,3,754,93,2
2019-12-25 21:00,3,754,100,2
2019-12-25 20:30,3,754,100,2
2019-12-25 20:00,4,753.2,93,2
2019-12-25 19:30,4,753.2,93,2
2019-12-25 19:00,4,753.2,93,2
2019-12-25 18:30,4,753.2,93,2
2019-12-25 18:00,4,753.2,93,2
2019-12-25 17:30,4,753.2,93,2
2019-12-25 17:00,4,752.4,93,2
2019-12-25 16:30,4,752.4,93,2
2019-12-25 16:00,4,752.4,93,2
2019-12-25 15:30,4,752.4,93,2
2019-12-25 15:00,4,752.4,93,2
2019-12-25 14:30,4,751.7,93,2
2019-12-25 14:00,4,751.7,93,2
2019-12-25 13:30,4,751.7,93,2
2019-12-25 13:00,4,751.7,93,2
2019-12-25 12:30,4,751.7,93,2
2019-12-25 12:00,4,751.7,93,2
2019-12-25 11:30,4,751.7,93,2
2019-12-25 11:00,4,750.9,93,2
2019-12-25 10:30,4,750.9,93,2
2019-12-25 10:00,4,750.9,93,2
2019-12-25 09:30,4,750.9,93,2
2019-12-25 09:00,4,750.9,93,2
2019-12-25 08:30,4,750.9,93,2
2019-12-25 08:00,4,750.9,93,2
2019-12-25 07:30,4,750.9,93,2
2019-12-25 07:00,4,750.9,93,2
2019-12-25 06:30,4,750.9,93,2
2019-12-25 06:00,4,750.9,93,2
2019-12-25 05:30,4,750.9,93,2
2019-12-25 05:00,4,750.9,93,2
2019-12-25 04:30,4,750.9,93,2
2019-12-25 04:00,4,750.9,93,2
2019-12-25 03:30,4,751.7,93,2
2019-12-25 03:00,4,751.7,93,2
2019-12-25 02:30,4,751.7,93,2
2019-12-25 02:00,4,751.7,93,2
2019-12-25 01:30,4,751.7,93,2
2019-12-25 01:00,4,751.7,93,2
2019-12-25 00:30,4,751.7,93,2
2019-12-25 00:00,4,752.4,93,2
2019-12-24 23:30,3,752.4,100,2
2019-12-24 23:00,4,752.4,93,2
2019-12-24 22:00,4,752.4,93,2
2019-12-24 21:00,4,752.4,93,2
2019-12-24 20:00,4,752.4,93,2
2019-12-24 19:00,4,752.4,93,2
2019-12-24 18:30,4,753.2,93,2
2019-12-24 18:00,4,753.2,93,2
2019-12-24 17:30,4,753.2,93,2
2019-12-24 17:00,4,753.2,93,2
2019-12-24 16:30,4,753.2,93,2
2019-12-24 16:00,4,753.2,93,2
2019-12-24 15:30,4,753.2,93,2
2019-12-24 15:00,4,753.2,93,2
2019-12-24 14:30,4,753.2,93,2
2019-12-24 14:00,4,753.2,93,2
2019-12-24 13:30,4,753.2,93,2
2019-12-24 13:00,4,753.2,93,2
2019-12-24 12:30,4,753.2,93,2
2019-12-24 12:00,4,753.2,93,2
2019-12-24 11:30,4,753.2,93,2
2019-12-24 11:00,4,753.2,93,2
2019-12-24 10:30,4,753.2,93,2
2019-12-24 10:00,4,753.2,93,2
2019-12-24 09:30,4,752.4,93,2
2019-12-24 09:00,4,752.4,93,2
2019-12-24 08:30,4,752.4,93,2
2019-12-24 08:00,4,752.4,93,2
2019-12-24 07:30,3,752.4,100,2
2019-12-24 07:00,3,752.4,100,2
2019-12-24 06:30,3,752.4,100,2
2019-12-24 06:00,3,751.7,100,2
2019-12-24 05:30,3,751.7,100,2
2019-12-24 05:00,3,751.7,100,2
2019-12-24 04:30,3,751.7,100,2
2019-12-24 04:00,3,751.7,100,2
2019-12-24 03:30,3,750.9,100,2
2019-12-24 03:00,3,750.9,100,2
2019-12-24 02:00,3,750.9,100,2
2019-12-24 01:30,3,750.9,100,2
2019-12-24 01:00,4,750.9,93,2
2019-12-24 00:30,4,750.1,93,2
2019-12-24 00:00,4,750.1,93,2
2019-12-23 23:30,4,750.1,93,2
2019-12-23 23:00,4,749.4,93,2
2019-12-23 22:30,4,749.4,93,2
2019-12-23 22:00,4,749.4,93,2
2019-12-23 21:30,4,749.4,93,2
2019-12-23 21:00,4,748.6,93,2
2019-12-23 20:30,4,748.6,93,2
2019-12-23 20:00,4,748.6,93,2
2019-12-23 19:30,4,748.6,93,2
2019-12-23 19:00,4,748.6,93,2
2019-12-23 18:30,4,747.9,93,2
2019-12-23 18:00,4,747.9,93,2
2019-12-23 17:30,4,747.9,93,2
2019-12-23 17:00,4,747.9,93,2
2019-12-23 16:30,4,747.1,93,2
2019-12-23 16:00,4,747.1,93,2
2019-12-23 15:30,4,747.1,93,2
2019-12-23 15:00,4,747.1,93,2
2019-12-23 14:30,4,747.1,93,2
2019-12-23 14:00,4,746.3,93,2
2019-12-23 13:30,4,746.3,93,2
2019-12-23 13:00,4,746.3,93,2
2019-12-23 12:30,4,746.3,93,2
2019-12-23 12:00,4,746.3,93,2
2019-12-23 11:30,4,746.3,93,2
2019-12-23 11:00,4,746.3,93,2
2019-12-23 10:30,4,746.3,93,2
2019-12-23 10:00,4,746.3,93,2
2019-12-23 09:30,4,746.3,93,2
2019-12-23 09:00,4,746.3,93,2
