datetime,temp,press,hum,city
2019-12-31 23:30,-21,767.4,64,3
2019-12-31 23:00,-22,767.4,64,3
2019-12-31 22:30,-19,767.5,59,3
2019-12-31 22:00,-18,767.5,54,3
2019-12-31 21:30,-18,767.5,54,3
2019-12-31 21:00,-18,767.5,54,3
2019-12-31 20:30,-18,768.2,54,3
2019-12-31 20:00,-16,768.2,46,3
2019-12-31 19:30,-14,768.2,39,3
2019-12-31 19:00,-14,768.2,39,3
2019-12-31 18:30,-14,767.5,39,3
2019-12-31 18:00,-12,767.5,30,3
2019-12-31 17:30,-12,767.5,33,3
2019-12-31 17:00,-12,767.5,30,3
2019-12-31 16:30,-12,767.5,33,3
2019-12-31 16:00,-12,767.5,30,3
2019-12-31 15:30,-12,766.7,30,3
2019-12-31 15:00,-12,766.7,33,3
2019-12-31 14:30,-13,766.7,33,3
2019-12-31 14:00,-14,766.7,36,3
2019-12-31 13:30,-14,767.5,36,3
2019-12-31 13:00,-15,768.2,35,3
2019-12-31 12:30,-15,768.2,35,3
2019-12-31 12:00,-16,768.2,38,3
2019-12-31 11:30,-16,769,38,3
2019-12-31 11:00,-17,769,38,3
2019-12-31 10:30,-18,769,41,3
2019-12-31 10:00,-19,769,45,3
2019-12-31 09:30,-20,768.9,49,3
2019-12-31 09:00,-20,768.9,45,3
2019-12-31 08:30,-19,769,41,3
2019-12-31 08:00,-19,768.2,41,3
2019-12-31 07:30,-19,768.2,45,3
2019-12-31 07:00,-19,768.2,45,3
2019-12-31 06:30,-18,767.5,45,3
2019-12-31 06:00,-18,767.5,50,3
2019-12-31 05:30,-18,766.7,50,3
2019-12-31 05:00,-17,766.7,50,3
2019-12-31 04:30,-17,765.9,55,3
2019-12-31 04:00,-17,765.9,60,3
2019-12-31 03:30,-16,765.9,55,3
2019-12-31 03:00,-16,765.2,60,3
2019-12-31 02:30,-16,765.2,60,3
2019-12-31 02:00,-15,765.2,60,3
2019-12-31 01:30,-15,764.4,60,3
2019-12-31 01:00,-15,765.2,60,3
2019-12-31 00:30,-15,764.4,60,3
2019-12-31 00:00,-14,764.4,56,3
2019-12-30 23:30,-14,764.4,61,3
2019-12-30 23:00,-14,763.6,61,3
2019-12-30 22:30,-13,763.6,66,3
2019-12-30 22:00,-12,763.6,61,3
2019-12-30 21:30,-12,763.6,61,3
2019-12-30 21:00,-12,763.6,61,3
2019-12-30 20:30,-11,762.9,62,3
2019-12-30 20:00,-11,762.9,62,3
2019-12-30 19:30,-10,762.9,62,3
2019-12-30 19:00,-10,762.9,73,3
2019-12-30 18:30,-9,762.9,73,3
2019-12-30 18:00,-8,762.1,62,3
2019-12-30 17:30,-7,762.1,63,3
2019-12-30 17:00,-7,762.9,63,3
2019-12-30 16:30,-7,762.1,68,3
2019-12-30 16:00,-6,762.1,68,3
2019-12-30 15:30,-6,762.1,68,3
2019-12-30 15:00,-6,762.1,74,3
2019-12-30 14:30,-6,762.1,68,3
2019-12-30 14:00,-6,762.1,74,3
2019-12-30 13:30,-7,762.1,79,3
2019-12-30 13:00,-7,762.9,86,3
2019-12-30 12:30,-7,762.9,79,3
2019-12-30 12:00,-6,762.9,74,3
2019-12-30 11:30,-4,762.9,74,3
2019-12-30 11:00,-1,763,80,3
2019-12-30 10:30,2,763,60,3
2019-12-30 10:00,2,762.2,60,3
2019-12-30 09:00,-1,762.2,100,3
2019-12-30 08:30,-1,762.2,100,3
2019-12-30 08:00,-1,762.2,93,3
2019-12-30 07:30,0,762.2,93,3
2019-12-30 07:00,-1,762.2,100,3
2019-12-30 06:30,1,763,93,3
2019-12-30 06:00,0,763,87,3
2019-12-30 05:30,-1,762.2,86,3
2019-12-30 05:00,-2,762.2,86,3
2019-12-30 04:30,-2,762.2,86,3
2019-12-30 04:00,-2,763,80,3
2019-12-30 03:30,-3,762.9,86,3
2019-12-30 03:00,-3,762.9,80,3
2019-12-30 02:30,-3,762.9,80,3
2019-12-30 02:00,-5,762.9,86,3
2019-12-30 01:30,-5,763.6,80,3
2019-12-30 01:00,-5,763.6,80,3
2019-12-30 00:30,-5,764.4,80,3
2019-12-30 00:00,-5,764.4,74,3
2019-12-29 23:30,-4,765.2,74,3
2019-12-29 23:00,-4,765.2,74,3
2019-12-29 22:30,-4,765.9,69,3
2019-12-29 22:00,-5,765.9,74,3
2019-12-29 21:30,-5,765.9,68,3
2019-12-29 21:00,-5,765.9,63,3
2019-12-29 20:30,-6,766.7,68,3
2019-12-29 20:00,-6,766.7,68,3
2019-12-29 19:30,-6,766.7,68,3
2019-12-29 19:00,-6,767.5,68,3
2019-12-29 18:30,-6,767.5,63,3
2019-12-29 18:00,-6,767.5,63,3
2019-12-29 17:30,-6,767.5,63,3
2019-12-29 17:00,-6,767.5,58,3
2019-12-29 16:30,-6,768.2,58,3
2019-12-29 16:00,-6,768.2,54,3
2019-12-29 15:30,-6,768.2,54,3
2019-12-29 15:00,-6,768.2,54,3
2019-12-29 14:30,-7,768.2,58,3
2019-12-29 14:00,-7,768.2,53,3
2019-12-29 13:30,-8,769,58,3
2019-12-29 13:00,-8,769,58,3
2019-12-29 12:30,-9,769.7,62,3
2019-12-29 12:00,-9,769.7,57,3
2019-12-29 11:30,-9,769.7,57,3
2019-12-29 11:00,-11,770.5,62,3
2019-12-29 10:30,-12,770.5,67,3
2019-12-29 10:00,-12,770.5,61,3
2019-12-29 09:30,-12,770.5,61,3
2019-12-29 09:00,-12,770.5,61,3
2019-12-29 08:30,-12,770.5,61,3
2019-12-29 08:00,-13,770.5,61,3
2019-12-29 07:30,-13,770.5,61,3
2019-12-29 07:00,-13,770.5,66,3
2019-12-29 06:30,-13,770.5,66,3
2019-12-29 06:00,-14,770.5,66,3
2019-12-29 05:30,-14,770.5,66,3
2019-12-29 05:00,-14,770.5,66,3
2019-12-29 04:30,-14,771.3,61,3
2019-12-29 04:00,-14,771.3,61,3
2019-12-29 03:30,-14,771.3,66,3
2019-12-29 03:00,-14,771.3,66,3
2019-12-29 02:30,-13,771.3,61,3
2019-12-29 02:00,-14,771.3,61,3
2019-12-29 01:30,-14,771.3,61,3
2019-12-29 01:00,-15,771.3,66,3
2019-12-29 00:30,-17,771.3,78,3
2019-12-29 00:00,-17,771.3,71,3
2019-12-28 23:30,-15,771.3,66,3
